Accession	Name	Source Database	Type	Integrated Into	Integrated Signatures	GO Terms
IPR000040	Acute myeloid leukemia 1 protein (AML1)/Runt	interpro	family		PTHR11950,PR00967	GO:0003677,GO:0005524,GO:0006355,GO:0005634
IPR000043	Adenosylhomocysteinase-like	interpro	family		cd00401,SM00996,PIRSF001109,MF_00563,PTHR23420,PF05221,TIGR00936	
IPR000044	Uncharacterised lipoprotein MG045	interpro	family		PR00905	GO:0016020
IPR000045	Prepilin type IV endopeptidase, peptidase domain	interpro	domain		PF01478	GO:0004190,GO:0016020
IPR000046	Neurokinin NK1 receptor	interpro	family		PR01024	GO:0004995,GO:0007186,GO:0005886,GO:0016020
IPR000047	Helix-turn-helix motif	interpro	conserved_site		PR00031	GO:0003677
IPR000048	IQ motif, EF-hand binding site	interpro	binding_site		PF00612,SM00015	GO:0005515
IPR000049	Electron transfer flavoprotein, beta-subunit, conserved site	interpro	conserved_site		PS01065	GO:0009055
IPR000052	Potex/carlavirus coat protein	interpro	domain		PS00418,PF00286,PR00232	GO:0005198,GO:0019028
IPR000053	Thymidine/pyrimidine-nucleoside phosphorylase	interpro	family		PIRSF000478,PTHR10515	GO:0004645,GO:0006206
IPR000054	Large ribosomal subunit protein eL31	interpro	family		cd00463,SM01380,MF_00410,PF01198,PTHR10956	GO:0003735,GO:0006412,GO:0005840
IPR000055	Type I restriction modification DNA specificity domain	interpro	domain		PF01420	GO:0003677
IPR000056	Ribulose-phosphate 3-epimerase-like	interpro	family		cd00429,PS01086,PS01085,PF00834,PTHR11749	GO:0016857,GO:0005975
IPR000057	CXC chemokine receptor 2	interpro	family		PR00573	GO:0016494,GO:0019959,GO:0006935,GO:0007186,GO:0016020
IPR000058	Zinc finger, AN1-type	interpro	domain		PS51039,PF01428,SM00154	GO:0008270
IPR000059	NUDIX hydrolase, NudL, conserved site	interpro	conserved_site		PS01293	GO:0000287,GO:0016818,GO:0030145,GO:0009132
IPR000060	BCCT transporter family	interpro	family		PTHR30047,TIGR00842,PF02028	GO:0022857,GO:0071705,GO:0016020
IPR000061	SWAP/Surp	interpro	domain		PS50128,PF01805,SM00648	GO:0003723,GO:0006396
IPR000064	Endopeptidase, NLPC/P60 domain	interpro	domain		PS51935,PF00877	
IPR000065	Leptin	interpro	family		PIRSF001837,PTHR11724,PR00495,PF02024	GO:0005179,GO:0007165,GO:0005576
IPR000066	Antenna complex, alpha/beta subunit	interpro	domain		PF00556	GO:0045156,GO:0019684,GO:0016020,GO:0030077
IPR000067	Flagellar M-ring protein FliF	interpro	family		PIRSF004862,TIGR00206,PR01009	GO:0003774,GO:0071973,GO:0009431
IPR000068	GPCR, family 3, extracellular calcium-sensing receptor-related	interpro	family		PTHR24061,PR00592	GO:0004930,GO:0007186,GO:0016020
IPR000069	Envelope glycoprotein M, flavivirus	interpro	domain		PF01004	GO:0019058
IPR000070	Pectinesterase, catalytic	interpro	domain		PF01095	GO:0030599,GO:0042545
IPR000071	Immunodeficiency lentiviral matrix, N-terminal	interpro	domain		PF00540,PR00234	GO:0005198
IPR000072	PDGF/VEGF domain	interpro	domain		cd00135,PS50278,SM00141,PF00341	GO:0008083,GO:0016020
IPR000073	Alpha/beta hydrolase fold-1	interpro	domain		PF12697,PF00561,PR00111	
IPR000074	Apolipoprotein A/E	interpro	family		PF01442	GO:0008289,GO:0006869,GO:0042157,GO:0005576
IPR000076	K/Cl co-transporter	interpro	family		PR01081	GO:0015379,GO:0006811,GO:0016020
IPR000077	Large ribosomal subunit protein eL39	interpro	family		MF_00629,PF00832	GO:0003735,GO:0006412,GO:0005840
IPR000079	High mobility group protein HMGN	interpro	family		PS00355,PF01101,SM00527,PR00925	GO:0031492,GO:0000785,GO:0005634
IPR000081	Peptidase C3, picornavirus core protein 2A	interpro	domain		PF00947	GO:0008233,GO:0006508,GO:0016032
IPR000082	SEA domain	interpro	domain		PS50024,SM00200,PF01390	
IPR000083	Fibronectin, type I	interpro	domain		cd00061,PS01253,PS51091,SM00058,PF00039	GO:0005576
IPR000084	PE-PGRS family, N-terminal	interpro	domain		PF00934	
IPR000085	Holliday junction branch migration complex subunit RuvA	interpro	family		MF_00031,TIGR00084	GO:0003678,GO:0006281,GO:0006310
IPR000086	NUDIX hydrolase domain	interpro	domain		PS51462,PF00293	
IPR000089	Biotin/lipoyl attachment	interpro	domain		PS50968,PF00364	
IPR000090	Flagellar motor switch protein FliG	interpro	family		PTHR30534,PIRSF003161,TIGR00207,PR00954	GO:0003774,GO:0006935,GO:0071973,GO:0009288
IPR000091	Huntingtin	interpro	family		PR00375	GO:0005634,GO:0005737
IPR000092	Polyprenyl synthetase	interpro	family		cd00685,PF00348	GO:0004659,GO:0008299
IPR000093	DNA recombination protein RecR	interpro	family		PTHR30446,MF_00017,TIGR00615	GO:0003677,GO:0046872,GO:0006281,GO:0006310
IPR000095	CRIB domain	interpro	domain		PS50108,PF00786,SM00285	
IPR000096	Serum amyloid A protein	interpro	family		PS00992,PIRSF002472,SM00197,PF00277,PR00306	GO:0005576
IPR000098	Interleukin-10	interpro	family		PR01294	GO:0005125,GO:0006955,GO:0005576
IPR000100	Ribonuclease P	interpro	family		PTHR33992,MF_00227,TIGR00188,PF00825	GO:0000049,GO:0004526,GO:0008033
IPR000101	Gamma-glutamyltranspeptidase	interpro	family		PTHR11686,PTHR45027,TIGR00066	GO:0036374,GO:0006751
IPR000102	Neuraxin/MAP1B repeat	interpro	repeat		PF00414,PS00230	
IPR000104	Antifreeze protein, type I	interpro	family		PR00308	GO:0050825
IPR000105	Mu opioid receptor	interpro	family		PR00537	GO:0004979,GO:0007186,GO:0016020
IPR000109	Proton-dependent oligopeptide transporter family	interpro	family		PF00854	GO:0022857,GO:0055085,GO:0016020
IPR000110	Small ribosomal subunit protein bS1	interpro	family		PIRSF002111,TIGR00717	GO:0003723,GO:0003735,GO:0006412,GO:0005840
IPR000111	Glycoside hydrolase family 27/36, conserved site	interpro	conserved_site		PS00512	GO:0004553,GO:0005975
IPR000112	GPCR, family 3, metabotropic glutamate receptor 6	interpro	family		PR01056	GO:0007186,GO:0016020
IPR000114	Large ribosomal subunit protein uL16, bacterial-type	interpro	family		MF_01342,PTHR12220,TIGR01164,PR00060	GO:0003735,GO:0019843,GO:0006412
IPR000115	Phosphoribosylglycinamide synthetase	interpro	family		PTHR43472,MF_00138,TIGR00877	GO:0004637,GO:0009113
IPR000116	High mobility group protein HMGA	interpro	family		PR00930	GO:0003677,GO:0006355,GO:0000785,GO:0005634
IPR000117	Kappa casein	interpro	family		PF00997,PIRSF002374,PTHR11470	GO:0005576
IPR000118	Granulin	interpro	domain		PS00799,SM00277,PF00396	
IPR000119	Histone-like DNA-binding protein	interpro	family		PTHR33175,PF00216,SM00411,PR01727	GO:0003677,GO:0030527
IPR000120	Amidase	interpro	family		PTHR11895	GO:0003824
IPR000121	PEP-utilising enzyme, C-terminal	interpro	domain		PF02896	GO:0016772,GO:0016310
IPR000123	RNA-directed DNA polymerase (reverse transcriptase), msDNA	interpro	family		cd03487,PR00866	GO:0003723,GO:0003964,GO:0006278
IPR000124	Spermadhesin	interpro	family		PS00986,PS00985	GO:0007338
IPR000125	Glycoside hydrolase, family 14A, bacterial	interpro	family		PR00841	GO:0016161,GO:0005976
IPR000126	Serine proteases, V8 family, serine active site	interpro	active_site		PS00673	GO:0008236,GO:0006508
IPR000128	Progesterone receptor	interpro	family		PR00544,PF02161	GO:0003677,GO:0003707,GO:0005496,GO:0006355,GO:0043401,GO:0005634
IPR000131	ATP synthase, F1 complex, gamma subunit	interpro	family		cd12151,MF_00815,TIGR01146,PTHR11693,PF00231,PR00126	GO:0046933,GO:0015986,GO:0045261
IPR000132	Nitrilase/cyanide hydratase, conserved site	interpro	conserved_site		PS00921,PS00920	GO:0003824
IPR000133	ER lumen protein retaining receptor	interpro	family		PS00952,PS00951,PTHR10585,PR00660,PF00810	GO:0046923,GO:0006621,GO:0016020
IPR000136	Oleosin	interpro	family		PTHR33203,PS00811,PF01277	GO:0012511,GO:0016020
IPR000138	Hydroxymethylglutaryl-CoA lyase, active site	interpro	active_site		PS01062	GO:0004419
IPR000141	Prostaglandin F receptor	interpro	family		PR00855	GO:0004958,GO:0007186,GO:0016020
IPR000142	P2Y purinoceptor 1	interpro	family		PR00595	GO:0045028,GO:0007200,GO:0030168,GO:0090075,GO:0016020
IPR000143	Geminivirus MSV 27Kd coat protein	interpro	family		PR00226	GO:0005198,GO:0019028
IPR000144	GPCR, family 3, metabotropic glutamate receptor 8	interpro	family		PR01058	GO:0007186,GO:0016020
IPR000145	Outer capsid protein VP5, Orbivirus	interpro	family		PF00901	GO:0005198,GO:0019028
IPR000146	Fructose-1,6-bisphosphatase class 1	interpro	family		PIRSF000904,PTHR11556,cd00354,MF_01855	GO:0016791,GO:0005975
IPR000147	Angiotensin II receptor type 2	interpro	family		PR00636	GO:0004945,GO:0006954,GO:0007186,GO:0042981,GO:0097746,GO:0016020
IPR000148	Papillomavirus E7	interpro	family		MF_04004,PF00527,PIRSF003407	GO:0003677,GO:0003700,GO:0006355
IPR000149	Haemagglutinin, influenzavirus A	interpro	family		PR00330	GO:0046789,GO:0019064,GO:0019031
IPR000150	Cof family	interpro	family		TIGR00099	GO:0016787
IPR000151	Ciliary neurotrophic factor, CNTF	interpro	family		PTHR15196,PF01110	GO:0005127,GO:0043524,GO:0070120
IPR000152	EGF-type aspartate/asparagine hydroxylation site	interpro	ptm		PS00010	
IPR000153	Reovirus, outer capsid sigma 3	interpro	family		PF00979	GO:0005198,GO:0019058
IPR000154	Prostanoid EP3 receptor type 3	interpro	family		PR00585	GO:0004957,GO:0007186,GO:0016020
IPR000155	Melanocortin 4 receptor	interpro	family		PR01062	GO:0004977,GO:0007186,GO:0016020
IPR000156	Ran binding domain	interpro	domain		PS50196,SM00160,PF00638	GO:0046907
IPR000157	Toll/interleukin-1 receptor homology (TIR) domain	interpro	domain		PF13676,PF01582,PS50104,SM00255	GO:0007165
IPR000158	Cell division protein FtsZ	interpro	family		MF_00909,cd02201,TIGR00065	GO:0003924,GO:0005525
IPR000159	Ras-associating domain	interpro	domain		PS50200,PF00788,SM00314	GO:0007165
IPR000160	GGDEF domain	interpro	domain		cd01949,PS50887,PF00990,SM00267,TIGR00254	
IPR000161	Vasopressin V2 receptor	interpro	family		PR00898	GO:0005000,GO:0007186,GO:0016020
IPR000162	GPCR, family 3, metabotropic glutamate receptor	interpro	family		PR00593	GO:0007186,GO:0016020
IPR000163	Prohibitin	interpro	family		cd03401,PTHR23222,PR00679	GO:0016020
IPR000164	Histone H3/CENP-A	interpro	family		PTHR45810,PTHR11426,PS00959,PS00322,SM00428,PR00622	GO:0003677,GO:0030527,GO:0000786
IPR000165	Glucoamylase	interpro	family		PR00736	GO:0004339,GO:0005976
IPR000167	Dehydrin	interpro	family		PTHR33346,PF00257	GO:0009415
IPR000169	Cysteine peptidase, cysteine active site	interpro	active_site		PS00139	
IPR000170	High potential iron-sulphur protein	interpro	domain		PS51373,PF01355	GO:0009055,GO:0019646
IPR000172	Glucose-methanol-choline oxidoreductase, N-terminal	interpro	domain		PS00624,PS00623,PF00732	GO:0016614,GO:0050660
IPR000174	CXC chemokine receptor 1/2	interpro	family		PR00427	GO:0016494,GO:0006935,GO:0007186,GO:0016020
IPR000175	Sodium:neurotransmitter symporter	interpro	family		PTHR42948,PTHR11616,PS00610,PS00754,PS50267,PF00209,PR00176	GO:0016020
IPR000176	mRNA methyltransferase-like	interpro	family		PF01358	
IPR000177	Apple domain	interpro	domain		cd01100,PS00495,SM00223,PR00005	GO:0005515,GO:0006508,GO:0005576
IPR000178	Translation initiation factor IF-2, bacterial-like	interpro	family		PS01176,MF_00100_B,TIGR00487	GO:0003743,GO:0003924,GO:0005525,GO:0006413
IPR000180	Membrane dipeptidase, active site	interpro	active_site		PS00869	GO:0070573,GO:0006508
IPR000182	GNAT domain	interpro	domain		PF13718,PF13302,PF13673,PF13508,PF00583,PS51186	GO:0016747
IPR000183	Ornithine/DAP/Arg decarboxylase	interpro	family		PR01179	GO:0003824
IPR000184	Bacterial surface antigen (D15)	interpro	domain		PF01103	GO:0019867
IPR000185	Protein translocase subunit SecA	interpro	family		PTHR30612,MF_01382,PR00906,TIGR00963	GO:0005524,GO:0006605,GO:0006886
IPR000186	Interleukin-5	interpro	family		PTHR48491,PF02025,PR00432	GO:0005137,GO:0008083,GO:0006955,GO:0005576
IPR000187	Corticotropin-releasing factor	interpro	domain		SM00039,PF00473	GO:0005179,GO:0005576
IPR000189	Prokaryotic transglycosylase, active site	interpro	active_site		PS00922	GO:0008933,GO:0000270,GO:0016020
IPR000190	Angiotensin II receptor type 1	interpro	family		PR00635	GO:0004945,GO:0007186,GO:0019229,GO:0016020
IPR000192	Aminotransferase class V domain	interpro	domain		PF00266	
IPR000194	ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain	interpro	domain		PF00006	GO:0005524
IPR000195	Rab-GAP-TBC domain	interpro	domain		PS50086,PF00566,SM00164	
IPR000196	Large ribosomal subunit protein eL19 domain	interpro	domain		SM01416,PF01280,MF_01475	GO:0003735,GO:0006412,GO:0005840
IPR000197	Zinc finger, TAZ-type	interpro	domain		PS50134,PF02135,SM00551	
IPR000198	Rho GTPase-activating protein domain	interpro	domain		PS50238,PF00620,SM00324	GO:0007165
IPR000199	Peptidase C3A/C3B, picornaviral	interpro	domain		PF00548	GO:0004197,GO:0006508
IPR000200	Peptidase C10, streptopain	interpro	family		PF01640,PR00797	GO:0008234,GO:0006508
IPR000201	Hepadnaviral P protein, N-terminal	interpro	domain		PF00242	GO:0003677,GO:0003887,GO:0006260
IPR000202	GPCR, family 3, metabotropic glutamate receptor 5	interpro	family		PR01055	GO:0007186,GO:0016020
IPR000203	GPS motif	interpro	conserved_site		PS50221,SM00303,PF01825	
IPR000204	Orexin receptor family	interpro	family		PR01064	GO:0016499,GO:0007186,GO:0007631,GO:0016020
IPR000206	Large ribosomal subunit protein bL12	interpro	family		cd00387,MF_00368,PTHR45987,TIGR00855	GO:0003735,GO:0006412,GO:0005840
IPR000207	Alpha 2B adrenoceptor	interpro	family		PR00559	GO:0004938,GO:0006940,GO:0007186,GO:0019229,GO:0030168,GO:0016020
IPR000208	RNA-directed RNA polymerase, fingers/palm subdomains, flavivirus	interpro	domain		PF00972	GO:0003968,GO:0005524
IPR000209	Peptidase S8/S53 domain	interpro	domain		PF00082	GO:0008236,GO:0006508
IPR000210	BTB/POZ domain	interpro	domain		PS50097,PF00651,SM00225	GO:0005515
IPR000211	Geminivirus BL1 movement protein	interpro	family		PF00845	GO:0003677,GO:0046740,GO:0033644
IPR000212	DNA helicase, UvrD/REP type	interpro	family		PTHR11070	GO:0003677,GO:0003678,GO:0005524
IPR000213	Vitamin D-binding protein	interpro	family		PR00804	GO:0005499,GO:0090482,GO:0051180,GO:0005615
IPR000214	Zinc finger, DNA glycosylase/AP lyase-type	interpro	domain		PS51066	GO:0003906,GO:0008270,GO:0016799,GO:0006284
IPR000215	Serpin family	interpro	family		PTHR11461	GO:0004867,GO:0005615
IPR000217	Tubulin	interpro	family		PTHR11588,PR01161	GO:0007017,GO:0005874
IPR000218	Large ribosomal subunit protein uL14	interpro	family		SM01374,MF_01367,PTHR11761,PF00238	GO:0003735,GO:0006412,GO:0005840
IPR000219	Dbl homology (DH) domain	interpro	domain		cd00160,PS50010,PF00621,SM00325	GO:0005085
IPR000221	Protamine P1	interpro	family		PS00048,PF00260	GO:0003677,GO:0007283,GO:0035092,GO:0000786,GO:0005634
IPR000222	PPM-type phosphatase, divalent cation binding	interpro	binding_site		PS01032	GO:0043169
IPR000223	Peptidase S26A, signal peptidase I	interpro	family		TIGR02227,PTHR43390,PR00727	GO:0008236,GO:0006508,GO:0016020
IPR000225	Armadillo	interpro	repeat		PS50176,PF00514,SM00185	GO:0005515
IPR000227	Angiotensinogen	interpro	family		PR00654	GO:0003081
IPR000228	RNA 3'-terminal phosphate cyclase	interpro	family		PIRSF005378,PTHR11096	GO:0006396
IPR000229	Nucleocapsid protein, arenaviridae	interpro	family		MF_04085,PIRSF004029	GO:0019013
IPR000231	Large ribosomal subunit protein eL30	interpro	family		MF_00481	GO:0003723,GO:0003735,GO:0022625
IPR000232	Heat shock factor (HSF)-type, DNA-binding	interpro	domain		PS00434,SM00415,PF00447,PR00056	GO:0003700,GO:0043565,GO:0006355
IPR000233	Cadherin, Y-type LIR-motif	interpro	domain		PF01049	GO:0005509,GO:0007156
IPR000234	Herpesvirus Glycoprotein B	interpro	family		MF_04032	
IPR000235	Small ribosomal subunit protein uS7	interpro	family		PIRSF002122,PTHR11205	GO:0006412
IPR000236	Transactivation protein X	interpro	family		PF00739,MF_04074	GO:0019079
IPR000237	GRIP domain	interpro	domain		SM00755,PS50913,PF01465	
IPR000238	Ribosome-binding factor A	interpro	family		PTHR33515,MF_00003,TIGR00082,PF02033	GO:0006364
IPR000239	GPCR kinase	interpro	family		PR00717	GO:0004703,GO:0005524,GO:0006468,GO:0007165
IPR000240	Serpin B9/maspin	interpro	family		PR00676	GO:0004867
IPR000241	Ribosomal RNA large subunit methyltransferase K/L-like, methyltransferase domain	interpro	domain		PF01170	
IPR000242	Tyrosine-specific protein phosphatase, PTPase domain	interpro	domain		PS50055,SM00194,PR00700,PF00102	GO:0004725,GO:0006470
IPR000243	Peptidase T1A, proteasome beta-subunit	interpro	family		PR00141	GO:0004298,GO:0051603,GO:0005839
IPR000244	Large ribosomal subunit protein bL9	interpro	family		PTHR21368	GO:0003735,GO:0006412,GO:0005840
IPR000245	V-ATPase proteolipid subunit	interpro	family		PR00122	GO:0046961,GO:1902600,GO:0033179
IPR000246	Peptidase T2, asparaginase 2	interpro	family		PTHR10188,PF01112	GO:0016787
IPR000247	Cucumovirus coat protein	interpro	family		PR00222	GO:0005198,GO:0019028
IPR000248	Angiotensin II receptor family	interpro	family		PR00241	GO:0007186,GO:0016020
IPR000249	Bacterial microcompartment domain	interpro	domain		SM00877,PF00936	GO:0031469
IPR000250	Peptidase G1	interpro	family		PTHR37536,PR00977,PF01828	GO:0070007,GO:0006508
IPR000253	Forkhead-associated (FHA) domain	interpro	domain		PS50006,SM00240,PF00498	GO:0005515
IPR000254	Cellulose-binding domain, fungal	interpro	domain		PS51164,PS00562,SM00236,PF00734	GO:0030248,GO:0005975,GO:0005576
IPR000256	Influenza A virus NS1 protein	interpro	family		PF00600	GO:0003723
IPR000257	Uroporphyrinogen decarboxylase (URO-D)	interpro	domain		PS00907,PS00906,PF01208	GO:0004853,GO:0006779
IPR000258	Bacterial ice-nucleation, octamer repeat	interpro	repeat		PS00314,PR00327,PF00818	GO:0009279
IPR000259	Fimbrial-type adhesion domain	interpro	domain		PF00419	GO:0007155,GO:0009289
IPR000260	NADH:ubiquinone oxidoreductase chain 4, N-terminal	interpro	domain		PF01059	
IPR000261	EH domain	interpro	domain		PF12763,cd00052,PS50031,SM00027	GO:0005515
IPR000262	FMN-dependent dehydrogenase	interpro	domain		PF01070	GO:0016491
IPR000263	Geminivirus AR1/BR1 coat protein	interpro	family		PF00844,PR00223	GO:0005198,GO:0019028
IPR000264	ALB/AFP/VDB	interpro	family		PTHR11385,PR00802	GO:0005615
IPR000265	Prostanoid EP3 receptor	interpro	family		PR00582	GO:0004957,GO:0007186,GO:0016020
IPR000266	Small ribosomal subunit protein uS17	interpro	family		PTHR10744,PR00973,PF00366	GO:0003735,GO:0006412,GO:0005840
IPR000268	DNA-directed RNA polymerase subunit RPABC5/Rpb10	interpro	family		PTHR23431,MF_00250,PIRSF005653,PF01194	GO:0003677,GO:0003899,GO:0006351
IPR000269	Copper amine oxidase	interpro	family		PTHR10638	GO:0005507,GO:0008131,GO:0048038,GO:0009308
IPR000270	PB1 domain	interpro	domain		SM00666,PF00564	GO:0005515
IPR000271	Large ribosomal subunit protein bL34	interpro	family		PTHR14503,MF_00391,TIGR01030,PF00468	GO:0003735,GO:0006412,GO:0005840
IPR000272	Ion-transport regulator, FXYD family	interpro	family		PF02038	GO:0099106,GO:0043269,GO:0016020
IPR000274	Adenylate cyclase, class-I	interpro	family		PIRSF001444,PTHR38760,PF01295	GO:0004016,GO:0006171
IPR000275	Coagulin	interpro	family		PIRSF002379,PR00763,PF02035	GO:0042381,GO:0005576
IPR000276	G protein-coupled receptor, rhodopsin-like	interpro	family		PS00237,SM01381,PF00001,PR00237	GO:0004930,GO:0007186,GO:0016020
IPR000277	Cys/Met metabolism, pyridoxal phosphate-dependent enzyme	interpro	family		cd00614,PF01053,PTHR11808,PIRSF001434	GO:0030170,GO:0019346
IPR000280	Pestivirus NS3, peptidase S31	interpro	domain		PS51535,PR00729,PF05578	GO:0004252
IPR000281	Helix-turn-helix protein RpiR	interpro	domain		PS51071,PF01418	GO:0003700,GO:0006355
IPR000283	NADH:ubiquinone oxidoreductase, 75kDa subunit, conserved site	interpro	conserved_site		PS00643,PS00642,PS00641	GO:0008137,GO:0042773,GO:0016020
IPR000286	Histone deacetylase family	interpro	family		PR01270	
IPR000289	Small ribosomal subunit protein eS28	interpro	family		cd04457,MF_00292,PF01200,PTHR10769	GO:0003735,GO:0006412,GO:0005840
IPR000290	Colicin immunity protein/pyocin immunity protein	interpro	family		cd16363,PF01320,PR01299	GO:0015643,GO:0030153
IPR000291	D-alanine--D-alanine ligase/VANA/B/C, conserved site	interpro	conserved_site		PS00844,PS00843	
IPR000292	Formate/nitrite transporter	interpro	family		PF01226,PTHR30520,TIGR00790	GO:0022857,GO:0055085,GO:0016020
IPR000293	Channel forming colicin, C-terminal cytotoxic	interpro	domain		PS00276,PF01024,PR00280	GO:0140911,GO:0031640,GO:0050829,GO:0016020
IPR000294	Gamma-carboxyglutamic acid-rich (GLA) domain	interpro	domain		PS50998,PS00011,PF00594,SM00069,PR00001	GO:0005509,GO:0005576
IPR000296	Cation-dependent mannose-6-phosphate receptor	interpro	family		PR00715	GO:0019904,GO:0006622,GO:0005768,GO:0005794
IPR000297	Peptidyl-prolyl cis-trans isomerase, PpiC-type	interpro	domain		PF13145,PF00639,PS50198	GO:0003755
IPR000298	Cytochrome c oxidase subunit III-like	interpro	domain		PS50253,PF00510	GO:0004129,GO:0016020
IPR000299	FERM domain	interpro	domain		PS50057	GO:0005856
IPR000300	Inositol polyphosphate-related phosphatase	interpro	domain		PF22669,SM00128	GO:0016791,GO:0046856
IPR000301	Tetraspanin, animals	interpro	family		PIRSF002419	GO:0016020
IPR000304	Pyrroline-5-carboxylate reductase-like	interpro	family		MF_01925,TIGR00112,PIRSF000193	GO:0004735,GO:0006561
IPR000305	GIY-YIG endonuclease	interpro	domain		PS50164,PF01541,SM00465	
IPR000306	FYVE zinc finger	interpro	domain		PF01363,SM00064	GO:0046872
IPR000307	Small ribosomal subunit protein bS16	interpro	family		MF_00385,PTHR12919,TIGR00002,PF00886	GO:0003735,GO:0006412,GO:0005840
IPR000308	14-3-3 protein	interpro	family		PIRSF000868,PTHR18860,PR00305	
IPR000310	Orn/Lys/Arg decarboxylase, major domain	interpro	domain		cd00615,PS00703,PF01276	GO:0003824
IPR000312	Glycosyl transferase, family 3	interpro	domain		PF00591	GO:0016757
IPR000313	PWWP domain	interpro	domain		PS50812,SM00293,PF00855	
IPR000314	Gastrin receptor	interpro	family		PR00527	GO:0015054,GO:0007186,GO:0016020
IPR000315	B-box-type zinc finger	interpro	domain		PS50119,SM00336,PF00643	GO:0008270
IPR000316	Plant EC metallothionein-like protein, family 15	interpro	family		PTHR48198,PF02068,PR00877	GO:0008270
IPR000317	Peptidase C24, Calicivirus polyprotein Orf1	interpro	domain		PS51894,PF03510,PR00916	GO:0004197,GO:0006508
IPR000318	Nitrogenase component 1, conserved site	interpro	conserved_site		PS00090,PS00699	GO:0016163
IPR000319	Aspartate-semialdehyde dehydrogenase, conserved site	interpro	conserved_site		PS01103	GO:0004073,GO:0050661,GO:0006520
IPR000320	Hedgehog, N-terminal signalling domain	interpro	domain		PF01085	GO:0007267
IPR000321	Delta opioid receptor	interpro	family		PR00525	GO:0038046,GO:0007186,GO:0016020
IPR000322	Glycoside hydrolase family 31, TIM barrel domain	interpro	domain		PF01055	GO:0004553,GO:0005975
IPR000323	Copper type II, ascorbate-dependent monooxygenase, N-terminal	interpro	domain		PF01082	GO:0004497,GO:0005507,GO:0016715
IPR000324	Vitamin D receptor	interpro	family		PR00350	GO:0003677,GO:0004879,GO:0006355,GO:0005634
IPR000326	Phosphatidic acid phosphatase type 2/haloperoxidase	interpro	domain		PF01569,SM00014	
IPR000327	POU-specific domain	interpro	domain		PS51179,PF00157,PS00035,PS00465,SM00352	GO:0003700,GO:0006355
IPR000328	Retroviral envelope protein GP41-like	interpro	domain		cd09909,PF00517	GO:0005198
IPR000329	Uteroglobin	interpro	family		PR00486	GO:0007165
IPR000330	SNF2, N-terminal	interpro	domain		PF00176	GO:0005524
